max_features,ngram_range,C,class_weight,accuracy,macro_f1,weighted_f1
10000,"(1, 1)",1.0,,0.6651272809191259,0.6203237932702582,0.6550620906708342
5000,"(1, 1)",1.0,,0.6635503491777427,0.617108662299247,0.6533521432092819
10000,"(1, 1)",10.0,,0.6598332957873395,0.614567161386842,0.6544742321772128
5000,"(1, 1)",10.0,,0.6566794323045732,0.6101024669363532,0.6514465178780853
10000,"(1, 1)",1.0,balanced,0.6507096192836225,0.6096482568534471,0.6540997234089755
5000,"(1, 1)",1.0,balanced,0.6469925658932192,0.6054992805915412,0.6507331457763109
10000,"(1, 2)",1.0,,0.6544266726740257,0.6051015726299133,0.6434804452720237
10000,"(1, 1)",10.0,balanced,0.6474431178193287,0.6049668062024189,0.6513890911061065
10000,"(1, 2)",10.0,,0.647555755800856,0.6005186072617125,0.6428783585629394
10000,"(1, 2)",1.0,balanced,0.6418112187429601,0.5989567740832871,0.645212830061523
5000,"(1, 1)",10.0,balanced,0.6409101148907411,0.5974120473942902,0.6460181885771312
5000,"(1, 2)",1.0,,0.6440639783735076,0.5916496062908192,0.6330217612810156
10000,"(1, 2)",10.0,balanced,0.633588646091462,0.5882656167553022,0.6374619182422061
5000,"(1, 2)",10.0,,0.6291957648118945,0.5788853023613315,0.6229823913217178
10000,"(1, 1)",0.1,balanced,0.6209731921603965,0.5773976199737997,0.6226713337507548
5000,"(1, 2)",1.0,balanced,0.6234512277539986,0.5770284021492175,0.6280647447450283
5000,"(1, 1)",0.1,balanced,0.6198468123451227,0.5757964988176374,0.6216563398036306
10000,"(1, 2)",0.1,balanced,0.6108357738229331,0.567212257278242,0.6136657326612218
5000,"(1, 2)",10.0,balanced,0.6132011714350079,0.5660820477345665,0.6182312504679547
5000,"(1, 2)",0.1,balanced,0.6054291507096193,0.5594419736141574,0.6087505753702783
5000,"(1, 1)",0.1,,0.5914620410002253,0.5142486214067108,0.5633391095532362
10000,"(1, 1)",0.1,,0.5868438837576031,0.5072558983052154,0.5577728030977587
5000,"(1, 2)",0.1,,0.5763685514755575,0.48929116493553565,0.5439947466563119
10000,"(1, 2)",0.1,,0.5675827889164227,0.47518119143192206,0.5319899937902394
